Name,LogMof,eLogMof,LogEkin,eLogEkin,Rout,eRout,LogE.kin,eLogE.kin,M.of,eM.of
J0025-10,5.51e+00,4.25e-03,5.42e+01,1.09e-02,1.00e+00,0.0,3.60e+01,1.66e-02,6.58e-01,9.52e-03
J0114+00,5.81e+00,7.89e-03,5.48e+01,1.10e-01,1.00e+00,0.0,3.68e+01,1.82e-01,1.77e+00,1.89e-01
J0123+00,5.62e+00,5.72e-03,5.43e+01,1.97e-02,1.00e+00,0.0,3.61e+01,3.20e-02,8.16e-01,1.85e-02
J0142+14,6.27e+00,4.43e-03,5.54e+01,2.01e-02,1.00e+00,0.0,3.75e+01,2.95e-02,6.58e+00,1.65e-01
J0217-00,5.49e+00,3.93e-03,5.46e+01,1.89e-02,1.00e+00,0.0,3.66e+01,2.85e-02,1.04e+00,2.44e-02
J0217-01,5.26e+00,4.90e-03,5.42e+01,1.10e-01,1.00e+00,0.0,3.62e+01,1.66e-01,5.40e-01,6.71e-02
J0218-00,5.60e+00,8.27e-04,5.40e+01,4.77e-02,1.00e+00,0.0,3.57e+01,7.59e-02,5.88e-01,3.03e-02
J0227+01,5.41e+00,5.06e-03,5.41e+01,1.48e-02,1.00e+00,0.0,3.59e+01,2.21e-02,5.26e-01,1.03e-02
J0234-07,5.52e+00,2.69e-03,5.45e+01,4.90e-03,1.00e+00,0.0,3.65e+01,7.15e-03,9.43e-01,7.01e-03
J0249+00,5.84e+00,2.52e-03,5.50e+01,4.83e-02,1.00e+00,0.0,3.71e+01,8.02e-02,2.36e+00,1.11e-01
J0320+00,5.09e+00,3.65e-03,5.38e+01,3.11e-02,1.00e+00,0.0,3.57e+01,4.19e-02,2.73e-01,1.12e-02
J0332-00,5.13e+00,3.13e-03,5.48e+01,3.79e-02,1.00e+00,0.0,3.72e+01,6.08e-02,7.62e-01,2.80e-02
J0334+00,5.47e+00,9.84e-03,5.38e+01,1.45e-02,1.00e+00,0.0,3.54e+01,2.10e-02,3.93e-01,9.44e-03
J0848-01,5.16e+00,6.64e-03,5.38e+01,1.77e-02,1.00e+00,0.0,3.56e+01,2.63e-02,2.89e-01,6.64e-03
J0904-00,5.63e+00,8.06e-03,5.44e+01,2.57e-02,1.00e+00,0.0,3.63e+01,4.16e-02,9.00e-01,2.38e-02
J0923+01,5.78e+00,2.52e-03,5.48e+01,2.55e-02,1.00e+00,0.0,3.69e+01,3.64e-02,1.99e+00,6.24e-02
J0924+01,5.37e+00,4.90e-03,5.47e+01,1.40e-02,1.00e+00,0.0,3.69e+01,2.24e-02,9.59e-01,1.65e-02
J0948+00,5.27e+00,5.43e-03,5.43e+01,1.32e-01,1.00e+00,0.0,3.63e+01,2.19e-01,5.37e-01,6.63e-02
J2358-00,5.77e+00,3.30e-03,5.46e+01,1.06e-02,1.00e+00,0.0,3.65e+01,1.59e-02,1.50e+00,2.07e-02
