Name,LogMof,eLogMof,LogEkin,eLogEkin,Rout,eRout,LogE.kin,eLogE.kin,M.of,eM.of
J0025-10,5.56e+00,1.04e-01,5.22e+01,3.79e-01,1.00e+00,0.0,3.31e+01,5.60e-01,7.40e-02,3.24e-02
J0114+00,6.09e+00,1.54e-01,5.44e+01,4.45e-01,1.00e+00,0.0,3.61e+01,6.42e-01,1.71e+00,9.02e-01
J0123+00,5.82e+00,1.45e-01,5.31e+01,2.42e-01,1.00e+00,0.0,3.42e+01,3.23e-01,2.80e-01,1.01e-01
J0142+14,7.05e+00,2.91e-02,5.39e+01,1.55e-01,1.00e+00,0.0,3.48e+01,2.27e-01,2.85e+00,5.41e-01
J0217-00,6.25e+00,4.45e-02,5.42e+01,1.07e-01,1.00e+00,0.0,3.57e+01,1.50e-01,1.61e+00,2.43e-01
J0217-01,5.88e+00,3.24e-01,5.32e+01,1.04e+00,1.00e+00,0.0,3.44e+01,1.52e+00,2.72e-01,5.60e-01
J0227+01,5.79e+00,8.36e-02,5.30e+01,1.84e-01,1.00e+00,0.0,3.40e+01,2.62e-01,2.27e-01,6.24e-02
J0234-07,6.08e+00,1.43e-02,5.36e+01,2.16e-02,1.00e+00,0.0,3.49e+01,2.79e-02,6.92e-01,2.66e-02
J0249+00,6.48e+00,2.51e-02,5.47e+01,2.00e-01,1.00e+00,0.0,3.66e+01,2.82e-01,1.98e+00,4.69e-01
J0320+00,5.81e+00,3.39e-01,5.25e+01,1.09e+00,1.00e+00,0.0,3.34e+01,1.59e+00,8.59e-02,2.02e-01
J0332-00,5.89e+00,5.31e-02,5.44e+01,1.15e-01,1.00e+00,0.0,3.65e+01,1.69e-01,8.70e-01,1.18e-01
J0848-01,5.94e+00,6.26e-02,5.22e+01,1.91e-01,1.00e+00,0.0,3.29e+01,2.77e-01,1.17e-01,2.93e-02
J0904-00,5.36e+00,9.45e-02,5.43e+01,1.18e-01,1.00e+00,0.0,3.63e+01,1.42e-01,6.61e-01,1.52e-01
J0923+01,6.14e+00,3.65e-01,5.18e+01,9.20e-01,1.00e+00,0.0,3.22e+01,1.32e+00,7.45e-02,1.48e-01
J0924+01,6.02e+00,1.31e-02,5.45e+01,3.92e-02,1.00e+00,0.0,3.63e+01,5.70e-02,1.87e+00,9.79e-02
J0948+00,5.03e+00,7.47e-02,5.40e+01,3.07e-01,1.00e+00,0.0,3.59e+01,4.54e-01,3.07e-01,9.62e-02
J2358-00,6.23e+00,2.15e-02,5.31e+01,8.23e-02,1.00e+00,0.0,3.41e+01,1.22e-01,4.70e-01,4.78e-02
