Name,Foutflow,eFoutflow,Voutflow,eVoutflow,Loutflow,eLoutflow
J0025-10,2.53e-16,8.35e-18,-5.96e+02,6.84e+00,7.48e+40,2.46e+39
J0114+00,1.77e-16,1.05e-16,-1.38e+03,2.29e+02,9.35e+40,5.57e+40
J0123+00,2.26e-16,1.04e-17,-6.14e+02,9.79e+00,1.27e+41,5.81e+39
J0142+14,8.11e-16,1.50e-16,-9.25e+02,2.39e+01,4.29e+41,7.93e+40
J0217-00,2.52e-16,3.66e-17,-1.11e+03,2.89e+01,1.00e+41,1.45e+40
J0217-01,3.43e-17,1.61e-17,6.30e+02,6.75e+02,1.66e+40,7.82e+39
J0218-00,1.79e-16,8.47e-18,-5.27e+02,2.99e+01,8.51e+40,4.03e+39
J0227+01,1.13e-16,9.28e-18,6.72e+02,2.15e+01,5.07e+40,4.17e+39
J0234-07,6.83e-16,9.16e-18,-7.09e+02,4.53e+00,2.12e+41,2.85e+39
J0249+00,3.57e-16,1.78e-17,-9.52e+02,3.62e+01,2.11e+41,1.05e+40
J0320+00,6.26e-17,6.72e-18,-7.58e+02,1.53e+01,3.21e+40,3.45e+39
J0332-00,1.21e-16,1.20e-17,-1.19e+03,9.01e+01,3.76e+40,3.74e+39
J0334+00,6.48e-17,9.90e-18,-5.35e+02,3.01e+01,3.81e+40,5.82e+39
J0848-01,4.97e-17,1.08e-17,-6.03e+02,1.74e+01,2.05e+40,4.48e+39
J0904-00,4.55e-16,2.59e-17,-7.19e+02,2.66e+01,1.91e+41,1.09e+40
J0923+01,1.78e-16,2.07e-17,-7.78e+02,1.46e+01,9.26e+40,1.08e+40
J0924+01,4.22e-16,1.41e-17,-1.24e+03,1.54e+01,2.11e+41,7.05e+39
J0948+00,1.89e-16,1.14e-17,-7.27e+02,1.65e+01,6.52e+40,3.92e+39
J2358-00,1.44e-16,1.49e-17,-8.34e+02,1.97e+01,8.21e+40,8.50e+39
