Name,Foutflow,eFoutflow,Voutflow,eVoutflow,Loutflow,eLoutflow,Outflow
J0025-10,2.90e-16,4.27e-18,5.84e+02,8.70e+00,8.57e+40,1.26e+39,Red
J0025-10,2.70e-16,3.33e-18,-7.50e+02,1.50e+01,7.98e+40,9.84e+38,Blue
J0114+00,3.08e-16,6.77e-18,-1.20e+03,1.91e+02,1.63e+41,3.58e+39,Blue
J0114+00,3.21e-16,8.48e-18,5.83e+02,4.41e+01,1.69e+41,4.48e+39,Red
J0123+00,1.80e-16,2.76e-18,-8.04e+02,2.44e+01,1.01e+41,1.55e+39,Blue
J0123+00,1.96e-16,4.04e-18,4.94e+02,8.57e+00,1.10e+41,2.27e+39,Red
J0142+14,8.73e-16,1.28e-17,-1.26e+03,3.53e+01,4.61e+41,6.78e+39,Blue
J0142+14,9.13e-16,1.26e-17,1.07e+03,3.97e+01,4.83e+41,6.65e+39,Red
J0217-00,2.04e-16,3.10e-18,9.11e+02,2.98e+01,8.10e+40,1.23e+39,Red
J0217-00,1.94e-16,2.40e-18,-1.30e+03,3.48e+01,7.67e+40,9.51e+38,Blue
J0217-01,9.35e-17,1.50e-18,-1.02e+03,2.03e+02,4.53e+40,7.27e+38,Blue
J0217-01,9.81e-17,1.38e-18,9.10e+02,1.22e+02,4.76e+40,6.71e+38,Red
J0218-00,2.02e-16,5.18e-19,-5.59e+02,4.42e+01,9.61e+40,2.47e+38,Blue
J0218-00,2.28e-16,5.32e-19,4.13e+02,2.39e+01,1.08e+41,2.53e+38,Red
J0227+01,1.41e-16,2.82e-18,-5.85e+02,1.36e+01,6.31e+40,1.27e+39,Blue
J0227+01,1.54e-16,2.12e-18,7.35e+02,1.86e+01,6.94e+40,9.54e+38,Red
J0234-07,2.81e-16,2.70e-18,6.90e+02,5.13e+00,8.75e+40,8.41e+38,Red
J0234-07,2.64e-16,2.27e-18,-1.18e+03,7.08e+00,8.22e+40,7.07e+38,Blue
J0249+00,2.95e-16,1.82e-18,-1.50e+03,1.07e+02,1.74e+41,1.08e+39,Blue
J0249+00,3.05e-16,3.11e-18,7.30e+02,2.07e+01,1.81e+41,1.84e+39,Red
J0320+00,6.43e-17,7.49e-19,6.01e+02,4.61e+01,3.30e+40,3.84e+38,Red
J0320+00,5.96e-17,8.07e-19,-8.40e+02,2.41e+01,3.06e+40,4.14e+38,Blue
J0332-00,1.10e-16,4.66e-19,-2.81e+03,1.34e+02,3.43e+40,1.45e+38,Blue
J0332-00,1.12e-16,1.48e-18,8.70e+02,3.39e+01,3.49e+40,4.61e+38,Red
J0334+00,1.21e-16,3.01e-18,-4.99e+02,1.10e+01,7.10e+40,1.77e+39,Blue
J0334+00,1.35e-16,4.69e-18,3.80e+02,3.26e+00,7.96e+40,2.76e+39,Red
J0848-01,8.58e-17,1.70e-18,-7.05e+02,2.07e+01,3.54e+40,7.02e+38,Blue
J0848-01,9.29e-17,2.05e-18,6.06e+02,1.86e+01,3.83e+40,8.44e+38,Red
J0904-00,2.61e-16,8.71e-18,3.83e+02,2.41e+00,1.10e+41,3.67e+39,Red
J0904-00,2.52e-16,2.38e-18,-1.02e+03,3.33e+01,1.06e+41,1.00e+39,Blue
J0923+01,2.84e-16,2.67e-18,-1.14e+03,2.07e+01,1.48e+41,1.39e+39,Blue
J0923+01,3.05e-16,2.43e-18,1.04e+03,6.10e+01,1.58e+41,1.26e+39,Red
J0924+01,1.15e-16,1.22e-18,-1.93e+03,3.91e+01,5.76e+40,6.08e+38,Blue
J0924+01,1.23e-16,2.03e-18,7.88e+02,2.25e+01,6.14e+40,1.02e+39,Red
J0948+00,1.34e-16,1.90e-18,-1.33e+03,2.42e+02,4.63e+40,6.57e+38,Blue
J0948+00,1.43e-16,3.08e-18,5.75e+02,1.94e+01,4.93e+40,1.06e+39,Red
J2358-00,2.57e-16,2.57e-18,-9.40e+02,1.55e+01,1.47e+41,1.47e+39,Blue
J2358-00,2.65e-16,3.38e-18,7.46e+02,1.12e+01,1.51e+41,1.93e+39,Red
