Name,LineID,Flux,eFlux,FWHM,eFWHM,Blueshift,eBlueshift,Luminosity,eLuminosity,Percentage,ePercentage
J0025-10,[OIII]4959i,2.14e-16,5.06e-17,1526.7,119.1,-70.29,23.23,6.30e+40,1.49e+40,0.113,0.027
J0025-10,[OIII]4959n2,4.25e-16,2.13e-17,404.7,7.1,58.06,2.59,1.25e+41,6.28e+39,0.224,0.011
J0025-10,[OIII]5007n2,1.29e-15,6.44e-17,404.7,7.1,58.06,2.59,3.80e+41,1.90e+40,0.224,0.011
J0025-10,[OIII]4959n1,1.26e-15,3.79e-17,695.3,11.0,-33.72,2.96,3.71e+41,1.12e+40,0.663,0.020
J0025-10,[OIII]5007n1,3.80e-15,1.15e-16,695.3,11.0,-33.72,2.96,1.12e+42,3.39e+40,0.663,0.020
J0025-10,[OIII]5007i,6.47e-16,1.53e-16,1526.7,119.1,-70.29,23.23,1.91e+41,4.53e+40,0.113,0.027
J0114+00,[OIII]5007n2,7.67e-16,8.97e-17,210.2,16.3,-41.26,6.43,4.05e+41,4.74e+40,0.121,0.014
J0114+00,[OIII]4959n2,2.53e-16,2.96e-17,210.2,16.3,-41.26,6.43,1.34e+41,1.57e+40,0.121,0.014
J0114+00,[OIII]4959n1,1.43e-15,7.93e-17,610.4,20.1,21.17,9.31,7.58e+41,4.19e+40,0.686,0.038
J0114+00,[OIII]4959i,4.02e-16,1.24e-16,1563.3,290.8,-495.60,169.32,2.12e+41,6.53e+40,0.192,0.059
J0114+00,[OIII]5007n1,4.34e-15,2.40e-16,610.4,20.1,21.17,9.31,2.30e+42,1.27e+41,0.686,0.038
J0114+00,[OIII]5007i,1.22e-15,3.74e-16,1563.3,290.8,-495.60,169.32,6.43e+41,1.98e+41,0.192,0.059
J0123+00,[OIII]4959i,1.97e-16,5.08e-17,1408.5,132.0,-143.54,28.13,1.11e+41,2.85e+40,0.157,0.040
J0123+00,[OIII]5007i,5.98e-16,1.54e-16,1408.5,132.0,-143.54,28.13,3.36e+41,8.64e+40,0.157,0.040
J0123+00,[OIII]4959n2,4.73e-16,9.50e-17,476.6,42.9,-170.43,40.40,2.65e+41,5.33e+40,0.376,0.076
J0123+00,[OIII]5007n1,1.77e-15,2.72e-16,436.5,15.5,126.13,22.57,9.96e+41,1.53e+41,0.466,0.072
J0123+00,[OIII]4959n1,5.86e-16,8.98e-17,436.5,15.5,126.13,22.57,3.29e+41,5.04e+40,0.466,0.072
J0123+00,[OIII]5007n2,1.43e-15,2.88e-16,476.6,42.9,-170.43,40.40,8.04e+41,1.62e+41,0.376,0.076
J0142+14,[OIII]5007n,7.38e-15,3.16e-16,493.4,16.2,0.00,3.61,3.90e+42,1.67e+41,0.405,0.017
J0142+14,[OIII]4959n,2.44e-15,1.04e-16,493.4,16.2,0.00,3.61,1.29e+42,5.51e+40,0.405,0.017
J0142+14,[OIII]4959i,3.57e-15,2.63e-16,1588.4,56.9,-84.90,14.81,1.89e+42,1.39e+41,0.595,0.044
J0142+14,[OIII]5007i,1.08e-14,7.96e-16,1588.4,56.9,-84.90,14.81,5.72e+42,4.21e+41,0.595,0.044
J0217-00,[OIII]4959n2,2.53e-16,1.14e-16,577.2,119.3,225.47,123.58,1.00e+41,4.51e+40,0.193,0.087
