spectra O3 O3_pixel
q0025_blue.fits 6524.121 1408.073462334009
q0025_red.fits 6524.121 595.6458445340105
q021701_blue.fits 6884.625 1604.2709971329664
q021701_red.fits 6884.625 727.6472640147907
q0218_blue.fits 6869.603999999999 1596.2344029278097
q0218_red.fits 6869.603999999999 722.0893067301927
q0234_blue.fits 6559.17 1427.4174591865162
q0234_red.fits 6559.17 608.9496334549242
q0334_blue.fits 7044.849 1691.706948204224
q0334_red.fits 7044.849 786.2298886067598
q0848_blue.fits 6759.450000000001 1536.563210551719
q0848_red.fits 6759.450000000001 682.0298551303188
stcal_q0123-b.fits 7004.793 1688.7423904035863
stcal_q0123-r.fits 7004.793 774.7693443075575
stcal_q0142-b.fits 6954.723 1660.8665924826269
stcal_q0217-00-b.fits 6884.625 1623.460665375544 #creo que no está bien
stcal_q0217-00-r.fits 6884.625 731.0661853300605 #creo que no está bien
stcal_q0227-blue.fits 6824.541 1572.261541105567
stcal_q0227-red.fits 6824.541 705.4735422658932
stcal_q0249-b.fits 7049.856 1694.5986598229192
stcal_q0249-r.fits 7049.856 789.4347121570237
stcal_q0320_blue.fits 6929.687999999999 1629.1176417427755
stcal_q0320_red.fits 6929.687999999999 745.4721896619194
stcal_q0332-b.fits 6559.17 1427.4803582885436
stcal_q0332-r.fits 6559.17 610.0051576982207
stcal_q0904-b.fits 6774.471 1564.818835004434
stcal_q0904-r.fits 6774.471 700.755315349983
stcal_q0923-b.fits 6939.702 1653.755894964985
stcal_q0923-r.fits 6939.702 749.8605899869088
stcal_q0924-b.fits 6909.66 1617.665074468085
stcal_q0924-r.fits 6909.66 738.3414469589617
stcal_q0948-b.fits 6629.268 1465.6313080756995
stcal_q0948-r.fits 6629.268 634.3789283251729
stcal_q2358-b.fits 7019.814 1697.1003690595494
stcal_q2358-r.fits 7019.814 780.4839340840841
