specfits, target_name
q021701_red.fits, J0217-01
q0025_red.fits,  J0025-10
q0218_red.fits, J0218-00
q0234_blue.fits, J0234-07
q0234_red.fits, J0234-07
q0334_red.fits, J0334+00
q0848_blue.fits, J0848-01
q0848_red.fits, J0848-01
stcal_q0123-r.fits, J0123+00
stcal_q0227-red.fits, J0227+01
stcal_q0249-r.fits, J0249+00
stcal_q0320_red.fits, J0320+00
stcal_q0332-b.fits, J0332-00
stcal_q0332-r.fits, J0332-00
stcal_q0904-r.fits, J0904-00
stcal_q0923-r.fits, J0923+01
stcal_q0924-r.fits, J0924+01
stcal_q0948-b.fits, J0948+00
stcal_q0948-r.fits, J0948+00
stcal_q2358-r.fits, J2358-00
stcal_q0217-b.fits, J0217-00
stcal_q0217-r.fits, J0217-00
q0114_sdss.fits, J0114+00
q0142_sdss.fits, J0142+14
