ShortName RA DEC z YSP100 YSPage merger morphology groups seeing intFWHM scale_kpc_arcsec logLumO3 logL5GHz b_gp
J0025-10 "00 25 31.46" "-10 40 22.2" 0.303 yes 0.02-0.04 yes "2N, 2T" 3 0.86 6.536 4.48 8.73 22.080 -16
J0114+00 "01 14 29.61" "00 00 36.7" 0.389 no 0.004-0.007 yes "2N, S" 3 0.00 0.000 5.28 8.66 24.700 254
J0123+00 "01 23 41.47" "00 44 35.9" 0.399 yes 0.001-0.01 yes "2N, B, [A]" 3 0.73 5.548 5.36 9.13 23.270 676
J0142+14 "01 42 37.49" "14 41 17.9" 0.389 yes 0.05-0.1 no - 4 0.00 0.000 5.28 8.76 22.58 149
J0217-00 "02 17 58.19" "-00 13 2.7" 0.344 yes 0.04-0.1 yes "T, I, F" 2 0.95 7.220 4.88 8.75 22.150 63
J0217-01 "02 17 57.42" "-01 13 24.4" 0.375 yes 0.004-0.007 no - 4 0.84 6.384 5.16 8.55 22.350 -153
J0218-00 "02 18 34.42" "-00 46 10.3" 0.372 yes 0.03-0.09 yes "I, A, [B]" 1 0.84 6.384 5.13 8.85 22.13 -49
J0227+01 "02 27 1.23" "01 07 12.3" 0.363 yes 0.03-0.1 yes "A, 2S, T" 2 0.66 5.016 5.05 8.90 22.11 159
J0234-07 "02 34 11.77" "-7 45 38.4" 0.310 no 0.001-0.02 no - 4 0.98 7.448 4.55 8.77 22.350 -115
J0249+00 "02 49 46.09" "00 10 3.22" 0.408 yes 0.05-0.1 yes "S, B" 1 0.73 5.548 5.44 8.63 22.140 -177
J0320+00 "03 20 29.78" "00 31 53.5" 0.384 yes 0.005-0.006 yes "I, [S]" 2 0.76 5.776 5.23 8.52 22.17 1297
J0332-00 "03 32 48.5" "-00 10 12.3" 0.310 no 0.001-5 yes "SN, S, F, [B]" 3 0.51 3.876 4.55 8.50 23.360 -19
J0334+00 "03 34 35.47" "00 37 24.9" 0.407 yes 0.04-0.09 yes S 2 0.63 4.788 5.43 8.61 22.23 36
J0848-01 "08 48 56.58" "01 36 47.8" 0.350 no 0.2-0.4 yes 2S 2 0.65 4.940 4.95 8.56 24.000 159
J0904-00 "09 04 14.1" "-00 21 44.9" 0.353 yes 0.006-0.03 yes "T, S" 2 0.53 4.028 4.98 8.93 23.520 463
J0923+01 "09 23 18.06" "01 01 44.8" 0.386 yes 0.05-0.1 yes "S, F, [T]" 2 0.66 5.016 5.27 8.94 22.090 256
J0924+01 "09 23 56.44" "01 20 2.1" 0.380 yes 0.005-0.02 yes "T, [B]" 2 0.90 6.840 5.22 8.59 23.330 -55
J0948+00 "09 48 36.05" "00 21 4.6" 0.324 no 0.2-0.3 no - 4 0.83 6.308 4.71 8.52 22.350 -123
J2358-00 "23 58 18.87" "-00 09 19.5" 0.402 yes 0.04-0.05 yes "B, T, F" 1 1.08 8.208 5.39 9.32 22.21 40
